TEMPERATURE,HUMIDITY,SOIL MOISTURE,INTENSITY,Weighted_Average,SPRINKLER
22.3,75,3394,0,1045.444,0
20.6,65,3252,0,999.5679999999999,0
21.6,83,3090,112,971.968,0
26.6,64,4095,60,1262.268,1
22.3,61,4095,107,1266.804,1
24.7,65,4095,83,1265.2359999999999,1
27.6,65,4095,77,1265.208,1
24.0,82,1575,98,515.9,0
24.4,66,1612,97,522.492,0
21.2,69,3158,59,980.9159999999999,0
23.4,59,3516,60,1086.272,1
23.4,62,2718,92,852.192,0
27.9,62,3291,147,1033.052,0
29.5,68,3067,167,970.78,0
21.4,68,3181,148,1000.052,0
22.6,59,1746,59,554.9079999999999,0
21.6,83,1761,95,570.8879999999999,0
27.0,69,3433,70,1066.58,1
23.4,55,3139,104,978.212,0
23.4,82,3451,114,1080.772,1
23.4,64,3170,106,990.312,0
24.6,83,3593,202,1136.3079999999998,1
23.0,68,3542,203,1116.5,1
25.8,76,3059,202,974.4839999999999,0
22.3,66,1843,79,588.684,0
23.5,69,3413,106,1064.6399999999999,1
27.7,69,3472,69,1078.336,1
24.3,69,3409,110,1064.224,1
28.8,69,2936,80,919.384,0
23.8,69,2907,90,910.6840000000001,0
20.1,69,2923,114,917.808,0
24.9,69,2974,61,927.0319999999999,0
23.9,69,3650,111,1136.552,1
24.2,69,3262,102,1018.9759999999999,0
20.5,69,3390,87,1054.24,1
23.2,70,2977,89,931.6560000000001,0
23.4,68,2771,90,869.492,0
23.8,83,2960,110,933.304,0
24.1,56,3519,91,1090.8680000000002,1
21.7,74,3486,179,1097.656,1
20.5,77,4095,58,1263.9199999999998,1
29.3,60,4095,83,1265.1239999999998,1
21.4,55,4095,70,1259.692,1
23.2,72,3328,67,1034.4360000000001,0
29.6,71,2884,86,905.4079999999999,0
26.1,70,2774,103,873.5279999999999,0
23.8,82,3522,62,1094.904,1
23.4,56,3475,104,1079.292,1
21.7,66,2994,181,948.096,0
28.9,60,4095,66,1262.632,1
24.6,66,4095,92,1266.748,1
